campaign_id,advertiser_id,advertiser_name,app_name,vertical,objective,primary_theme,target_age_segment,target_os,start_date,end_date,daily_budget_usd,kpi_goal,campaign_duration_days,hq_region
20000,1000,PixelForge,PixelForge Legends,gaming,install,fantasy,45-54,Both,2026-01-19,2026-04-02,5386,CPA,74,LATAM
20001,1001,VantaStyle,VantaStyle Drops,ecommerce,purchase,testimonial,45-54,Android,2026-01-11,2026-03-19,2532,CPA,68,North America
20002,1002,EarnPath,EarnPath Invest,fintech,signup,trust,18-24,iOS,2026-01-02,2026-03-17,3015,CPA,75,APAC
20003,1003,CloudRoute,CloudRoute Getaway,travel,booking,family,35-44,Android,2026-01-03,2026-02-17,3437,ROAS,46,Europe
20004,1004,SnapMeal,SnapMeal Bites,food_delivery,order,discount,25-34,iOS,2026-01-16,2026-03-02,2261,CPA,46,Europe
20005,1005,MoonScreen,MoonScreen TV,entertainment,signup,celebrity,35-44,iOS,2026-01-15,2026-03-12,2983,IPM,57,Europe
20006,1006,NeonArena,NeonArena Quest,gaming,install,reward,25-34,iOS,2026-01-03,2026-02-21,2980,IPM,50,LATAM
20007,1007,ThreadMark,ThreadMark Shop,ecommerce,purchase,ugc,45-54,Both,2026-01-01,2026-02-18,1612,CPA,49,Europe
20008,1008,CoinBridge,CoinBridge Invest,fintech,signup,trust,45-54,Both,2026-01-13,2026-03-10,4256,CTR,57,North America
20009,1009,DriftPass,DriftPass Travel,travel,booking,discount,18-24,Android,2026-01-04,2026-02-27,3678,CTR,55,Europe
20010,1010,BiteRush,BiteRush Delivery,food_delivery,order,discount,25-34,Both,2026-01-03,2026-03-15,2394,ROAS,72,Europe
20011,1011,FluxStream,FluxStream Play,entertainment,signup,trailer,45-54,Both,2026-01-04,2026-03-16,2807,ROAS,72,APAC
20012,1012,VoxelRealm,VoxelRealm Battle,gaming,install,competitive,25-34,Android,2026-01-09,2026-03-09,3557,CTR,60,APAC
20013,1013,BoltCart,BoltCart Drops,ecommerce,purchase,ugc,18-24,Android,2026-01-21,2026-04-02,2720,CPA,72,Europe
20014,1014,VaultRun,VaultRun Pay,fintech,signup,feature-focus,25-34,Android,2026-01-20,2026-03-30,2738,IPM,70,North America
20015,1015,HorizonHop,HorizonHop Trips,travel,booking,wanderlust,25-34,iOS,2026-01-16,2026-03-09,1792,CPA,53,Europe
20016,1016,FreshDash,FreshDash Bites,food_delivery,order,combo,25-34,Android,2026-01-07,2026-03-02,3619,ROAS,55,APAC
20017,1017,PulsePlay,PulsePlay Box,entertainment,install,trailer,25-34,iOS,2026-01-13,2026-03-23,3113,ROAS,70,Europe
20018,1018,StormByte,StormByte Saga,gaming,install,fantasy,25-34,Android,2026-01-03,2026-03-11,3281,IPM,68,Europe
20019,1019,ZenDrop,ZenDrop Market,ecommerce,purchase,product-focus,45-54,Both,2026-01-20,2026-03-31,1747,CPA,71,North America
20020,1020,NovaPay,NovaPay Wallet,fintech,signup,minimalist,25-34,Android,2026-01-17,2026-03-25,5312,ROAS,68,Europe
20021,1021,RouteBloom,RouteBloom Getaway,travel,booking,discount,35-44,iOS,2026-01-19,2026-03-14,3146,ROAS,55,APAC
20022,1022,CraveLoop,CraveLoop Express,food_delivery,order,food-closeup,18-24,iOS,2026-01-18,2026-03-07,2603,ROAS,49,Europe
20023,1023,NeonCast,NeonCast Stream,entertainment,install,drama,18-24,Android,2026-01-20,2026-03-28,6064,CTR,68,North America
20024,1024,GlitchWave,GlitchWave Quest,gaming,install,reward,18-24,Android,2026-01-09,2026-02-23,2933,ROAS,46,Europe
20025,1025,LuxShelf,LuxShelf Market,ecommerce,purchase,ugc,45-54,Both,2026-01-15,2026-03-16,1794,IPM,61,North America
20026,1026,ClearLedger,ClearLedger Invest,fintech,signup,minimalist,35-44,iOS,2026-01-13,2026-03-12,2586,CTR,59,LATAM
20027,1027,WayPoint,WayPoint Trips,travel,booking,discount,35-44,Android,2026-01-21,2026-03-27,1338,IPM,66,APAC
20028,1028,QuickFork,QuickFork Kitchen,food_delivery,order,combo,25-34,Both,2026-01-06,2026-03-12,4303,IPM,66,North America
20029,1029,BingeLayer,BingeLayer Plus,entertainment,install,ugc,35-44,iOS,2026-01-03,2026-03-11,2576,CTR,68,Europe
20030,1030,IronQuest,IronQuest Saga,gaming,install,competitive,35-44,Both,2026-01-17,2026-03-21,2298,CTR,64,LATAM
20031,1031,CrispBox,CrispBox Shop,ecommerce,purchase,discount,25-34,Android,2026-01-06,2026-02-27,4338,ROAS,53,North America
20032,1032,SwiftStack,SwiftStack Wallet,fintech,signup,testimonial,25-34,Both,2026-01-02,2026-03-12,1672,ROAS,70,Europe
20033,1033,NomadLayer,NomadLayer Getaway,travel,booking,destination,25-34,Both,2026-01-20,2026-04-01,3595,CTR,72,North America
20034,1034,PlateSprint,PlateSprint Delivery,food_delivery,order,food-closeup,25-34,iOS,2026-01-02,2026-03-03,1447,CTR,61,LATAM
20035,1035,StarVault,StarVault Plus,entertainment,install,ugc,25-34,Android,2026-01-17,2026-03-26,2364,CPA,69,Europe
20036,1000,PixelForge,PixelForge Legends,gaming,install,gameplay,25-34,iOS,2026-01-01,2026-02-14,1955,ROAS,45,LATAM
20037,1001,VantaStyle,VantaStyle Market,ecommerce,purchase,testimonial,45-54,Both,2026-01-18,2026-03-29,4972,CPA,71,North America
20038,1002,EarnPath,EarnPath Invest,fintech,signup,testimonial,25-34,Android,2026-01-02,2026-03-13,5531,CTR,71,APAC
20039,1003,CloudRoute,CloudRoute Trips,travel,booking,family,35-44,Android,2026-01-17,2026-03-23,2656,IPM,66,Europe
20040,1004,SnapMeal,SnapMeal Kitchen,food_delivery,order,discount,35-44,Android,2026-01-09,2026-03-05,4000,CPA,56,Europe
20041,1005,MoonScreen,MoonScreen Stream,entertainment,signup,trailer,18-24,Android,2026-01-11,2026-03-08,2798,ROAS,57,Europe
20042,1006,NeonArena,NeonArena Arena,gaming,install,competitive,45-54,Both,2026-01-03,2026-02-20,3636,CTR,49,LATAM
20043,1007,ThreadMark,ThreadMark Store,ecommerce,purchase,product-focus,35-44,Both,2026-01-20,2026-03-17,2290,ROAS,57,Europe
20044,1008,CoinBridge,CoinBridge Pay,fintech,signup,feature-focus,18-24,Android,2026-01-17,2026-03-26,1639,IPM,69,North America
20045,1009,DriftPass,DriftPass Trips,travel,booking,family,18-24,Android,2026-01-15,2026-03-17,1585,CTR,62,Europe
20046,1010,BiteRush,BiteRush Go,food_delivery,order,discount,45-54,iOS,2026-01-17,2026-03-04,3408,CPA,47,Europe
20047,1011,FluxStream,FluxStream Stream,entertainment,install,drama,45-54,Both,2026-01-16,2026-03-28,6546,CTR,72,APAC
20048,1012,VoxelRealm,VoxelRealm Legends,gaming,install,competitive,35-44,Android,2026-01-21,2026-03-29,3275,IPM,68,APAC
20049,1013,BoltCart,BoltCart Market,ecommerce,purchase,discount,45-54,iOS,2026-01-07,2026-03-13,2480,CPA,66,Europe
20050,1014,VaultRun,VaultRun Cash,fintech,signup,minimalist,35-44,Android,2026-01-16,2026-03-01,5820,ROAS,45,North America
20051,1015,HorizonHop,HorizonHop Flights,travel,booking,discount,18-24,iOS,2026-01-03,2026-03-06,3239,IPM,63,Europe
20052,1016,FreshDash,FreshDash Eats,food_delivery,order,urgency,45-54,Both,2026-01-08,2026-03-08,3088,ROAS,60,APAC
20053,1017,PulsePlay,PulsePlay Play,entertainment,signup,ugc,35-44,iOS,2026-01-05,2026-03-03,3256,ROAS,58,Europe
20054,1018,StormByte,StormByte Saga,gaming,install,gameplay,18-24,iOS,2026-01-07,2026-03-14,2845,CPA,67,Europe
20055,1019,ZenDrop,ZenDrop Shop,ecommerce,purchase,testimonial,18-24,iOS,2026-01-09,2026-03-21,2674,CPA,72,North America
20056,1020,NovaPay,NovaPay Bank,fintech,signup,testimonial,35-44,Both,2026-01-14,2026-03-15,1804,IPM,61,Europe
20057,1021,RouteBloom,RouteBloom Deals,travel,booking,destination,45-54,Both,2026-01-02,2026-03-16,3553,ROAS,74,APAC
20058,1022,CraveLoop,CraveLoop Bites,food_delivery,order,combo,35-44,Both,2026-01-14,2026-03-09,2883,CPA,55,Europe
20059,1023,NeonCast,NeonCast Now,entertainment,signup,drama,25-34,iOS,2026-01-04,2026-02-22,4525,CTR,50,North America
20060,1024,GlitchWave,GlitchWave Saga,gaming,install,competitive,25-34,Both,2026-01-15,2026-03-13,2619,IPM,58,Europe
20061,1025,LuxShelf,LuxShelf Shop,ecommerce,purchase,product-focus,25-34,iOS,2026-01-12,2026-03-05,1529,CTR,53,North America
20062,1026,ClearLedger,ClearLedger Cash,fintech,signup,minimalist,35-44,iOS,2026-01-16,2026-03-09,2878,IPM,53,LATAM
20063,1027,WayPoint,WayPoint Travel,travel,booking,family,35-44,Android,2026-01-14,2026-03-29,5403,CTR,75,APAC
20064,1028,QuickFork,QuickFork Express,food_delivery,order,combo,45-54,Both,2026-01-01,2026-02-16,2606,ROAS,47,North America
20065,1029,BingeLayer,BingeLayer Now,entertainment,install,trailer,45-54,Android,2026-01-21,2026-04-02,2183,CTR,72,Europe
20066,1030,IronQuest,IronQuest Battle,gaming,install,competitive,35-44,Both,2026-01-05,2026-03-10,1963,ROAS,65,LATAM
20067,1031,CrispBox,CrispBox Club,ecommerce,purchase,ugc,18-24,iOS,2026-01-08,2026-03-18,2064,CTR,70,North America
20068,1032,SwiftStack,SwiftStack Invest,fintech,signup,feature-focus,18-24,Both,2026-01-18,2026-03-10,2683,ROAS,52,Europe
20069,1033,NomadLayer,NomadLayer Trips,travel,booking,wanderlust,45-54,iOS,2026-01-08,2026-03-14,1972,CPA,66,North America
20070,1034,PlateSprint,PlateSprint Go,food_delivery,order,combo,45-54,Both,2026-01-12,2026-03-18,5035,IPM,66,LATAM
20071,1035,StarVault,StarVault Play,entertainment,install,celebrity,25-34,Android,2026-01-10,2026-03-19,2700,IPM,69,Europe
20072,1000,PixelForge,PixelForge Rush,gaming,install,reward,45-54,Android,2026-01-08,2026-03-08,3096,CTR,60,LATAM
