creative_id,campaign_id,advertiser_name,app_name,vertical,format,width,height,language,creative_launch_date,theme,hook_type,cta_text,headline,subhead,dominant_color,emotional_tone,duration_sec,text_density,copy_length_chars,readability_score,brand_visibility_score,clutter_score,novelty_score,motion_score,faces_count,product_count,has_price,has_discount_badge,has_gameplay,has_ugc_style,asset_file,asset_path,asset_exists,aspect_ratio,asset_pixels,is_video_like,headline_chars,subhead_chars,advertiser_id,objective,primary_theme,target_age_segment,target_os,start_date,end_date,daily_budget_usd,kpi_goal,campaign_duration_days,hq_region,first_3d_days_observed,first_3d_spend_usd,first_3d_impressions,first_3d_viewable_impressions,first_3d_clicks,first_3d_conversions,first_3d_revenue_usd,first_3d_avg_country_os_slices,first_3d_ctr_volatility,first_3d_ipm_volatility,first_3d_ctr,first_3d_viewability_rate,first_3d_cvr,first_3d_ipm,first_3d_roas,first_7d_days_observed,first_7d_spend_usd,first_7d_impressions,first_7d_viewable_impressions,first_7d_clicks,first_7d_conversions,first_7d_revenue_usd,first_7d_avg_country_os_slices,first_7d_ctr_volatility,first_7d_ipm_volatility,first_7d_ctr,first_7d_viewability_rate,first_7d_cvr,first_7d_ipm,first_7d_roas,first_14d_days_observed,first_14d_spend_usd,first_14d_impressions,first_14d_viewable_impressions,first_14d_clicks,first_14d_conversions,first_14d_revenue_usd,first_14d_avg_country_os_slices,first_14d_ctr_volatility,first_14d_ipm_volatility,first_14d_ctr,first_14d_viewability_rate,first_14d_cvr,first_14d_ipm,first_14d_roas,lifecycle_days,lifecycle_spend_usd,lifecycle_impressions,lifecycle_clicks,lifecycle_conversions,lifecycle_revenue_usd,lifecycle_ctr_std,lifecycle_ipm_std,lifecycle_max_days_since_launch,lifecycle_ctr,lifecycle_cvr,lifecycle_ipm,lifecycle_roas,creative_status,fatigue_day,perf_score,overall_ctr,overall_cvr,overall_ipm,overall_roas,ctr_decay_pct,cvr_decay_pct,peak_rolling_ctr_5,has_fatigue
500000,20000,PixelForge,PixelForge Legends,gaming,interstitial,360,640,ja,2026-01-19,family,power-up,Order now,Level up today,Play with friends tonight,purple,premium,5,0.419,37,0.75,0.733,0.466,0.366,0.823,0,2,0,0,1,0,assets/creative_500000.png,/home/wei/projects/hack_UPC_2026/Smadex_Creative_Intelligence_Dataset_FULL/assets/creative_500000.png,True,0.5625,230400,1,14,25,1000,install,fantasy,45-54,Both,2026-01-19,2026-04-02,5386,CPA,74,LATAM,3,11391.77,1847226,1527371,18852,3782,20729.03,8.0,0.001366602405196526,0.3578191410047205,0.010205573113414385,0.8268457676537684,0.2006153193295141,2.04739430908833,1.8196496242462759,7,20409.87,3314254,2712388,28068,5560,30271.28,8.0,0.0023037626428255337,0.5021373027300633,0.008468874141812908,0.8184007622831563,0.19809035200228017,1.6776022598147275,1.4831686826030739,14,30192.89,4901552,4009923,33177,6539,35715.7,8.0,0.0029581990556604757,0.6091996077909091,0.006768672453133211,0.8180925143709584,0.19709437260752932,1.3340672505361566,1.1829175676790131,57,71899.93,11656411,45389,8800,48404.62,0.0021257940653754354,0.4311967044268164,56,0.003893908682526723,0.19387957434620723,0.7549493579112816,0.6732220740687788,stable,,0.3410493827160494,0.0038939086825267,0.1938795743462072,0.7549493579112817,0.6732220740687788,-0.785291349678005,-0.0898799244567573,0.0102055731134143,0
500001,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,en,2026-01-30,gameplay,free rewards,Claim reward,Beat your rivals,No ads in first week,blue,excited,20,0.205,12,0.515,0.86,0.182,0.815,1.0,2,1,0,0,1,0,assets/creative_500001.png,/home/wei/projects/hack_UPC_2026/Smadex_Creative_Intelligence_Dataset_FULL/assets/creative_500001.png,True,0.5625,230400,1,16,20,1000,install,fantasy,45-54,Both,2026-01-19,2026-04-02,5386,CPA,74,LATAM,3,4483.96,587273,479552,8846,2040,11530.41,8.0,0.0005639830250033094,0.04973806268399377,0.015062841302086082,0.8165742337890555,0.2306127063079358,3.473682597361023,2.571479228182232,7,8480.74,1126677,946193,17002,3930,22639.72,8.0,0.0010763047610092497,0.27459669045173984,0.015090394141355509,0.8398085698030581,0.23114927655569933,3.488133688714689,2.6695453462787446,14,15637.88,2071093,1723742,26856,6053,34737.65,8.0,0.0027754542410539625,0.7188004914065046,0.012967066181962857,0.8322861406996209,0.22538725052129877,2.9226113940803238,2.221378473296892,46,47396.67,6308862,42192,9380,53401.61,0.004748331029553872,1.0929547003417324,45,0.006687735442620238,0.22231702692453545,1.4867974604611736,1.1266953986429848,fatigued,12,0.5978395061728395,0.0066877354426202,0.2223170269245354,1.4867974604611736,1.1266953986429848,-0.8790466075977256,-0.0800892904071556,0.0154811110016695,1
500002,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,ja,2026-02-03,feature-focus,competition,Claim reward,Win epic rewards,No ads in first week,blue,playful,10,0.492,52,0.75,0.672,0.388,0.669,0.842,0,1,0,1,0,0,assets/creative_500002.png,/home/wei/projects/hack_UPC_2026/Smadex_Creative_Intelligence_Dataset_FULL/assets/creative_500002.png,True,0.5625,230400,1,16,20,1000,install,fantasy,45-54,Both,2026-01-19,2026-04-02,5386,CPA,74,LATAM,3,2830.58,384381,311181,6225,1279,7146.379999999999,8.0,0.00043669568211752134,0.16827915664116383,0.016194869153261997,0.8095639482700758,0.20546184738955822,3.3274277344613807,2.5247051840965455,7,7053.65,946897,772972,15192,3201,18805.72,8.0,0.0010259273931058112,0.19245280174407245,0.01604398366453796,0.816321099338154,0.21070300157977884,3.3805155154150874,2.6660976941016354,14,13915.42,1862669,1509190,25187,5253,30471.329999999998,8.0,0.002940617483968494,0.6841607610938807,0.013521994514323264,0.8102298368631249,0.2085599714138246,2.820146789365153,2.189752806598723,42,41177.21,5472677,38644,7945,45628.77,0.005170445986106323,1.10605797640138,41,0.007061260878359896,0.20559465893799814,1.4517575219586318,1.1081073729861737,fatigued,11,0.6074074074074074,0.0070612608783598,0.2055946589379981,1.451757521958632,1.1081073729861737,-0.883620876002164,0.0192595213269899,0.0165807282032309,1
500003,20000,PixelForge,PixelForge Legends,gaming,interstitial,360,640,en,2026-01-22,testimonial,free shipping,Order now,Level up today,No ads in first week,orange,trustworthy,5,0.357,23,0.701,0.639,0.475,0.99,0.805,0,1,0,0,1,0,assets/creative_500003.png,/home/wei/projects/hack_UPC_2026/Smadex_Creative_Intelligence_Dataset_FULL/assets/creative_500003.png,True,0.5625,230400,1,14,20,1000,install,fantasy,45-54,Both,2026-01-19,2026-04-02,5386,CPA,74,LATAM,3,6385.91,1027988,875994,14311,2878,16029.86,8.0,0.00042313232580224727,0.107626882642714,0.013921368731930723,0.8521441884535618,0.2011040458388652,2.799643575605941,2.51019196950787,7,13404.88,2164453,1848184,27312,5260,29491.94,8.0,0.0018444350859874506,0.4511870148045814,0.01261843061503299,0.8538804030394747,0.19258933801991798,2.43017519899947,2.2000898180364166,14,21443.26,3455495,2924028,37201,7075,40222.93,8.0,0.0030503234211721754,0.6461000540996292,0.010765751361237681,0.8461965651809654,0.19018305959517218,2.0474635327210717,1.8757842790695074,54,58977.52,9554290,52375,9906,55980.77,0.0036980209394649297,0.71600999377756,53,0.005481830675016145,0.1891360381861575,1.0368117358799032,0.9491882669871503,stable,,0.4916666666666667,0.0054818306750161,0.1891360381861575,1.0368117358799032,0.9491882669871504,-0.8583884136533985,-0.0872846037719718,0.0139213687319307,0
500004,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,en,2026-01-20,reward,limited offer,Get offer,Level up today,Free rewards for new players,purple,urgent,15,0.479,62,0.707,0.472,0.586,0.717,0.892,1,2,0,0,0,0,assets/creative_500004.png,/home/wei/projects/hack_UPC_2026/Smadex_Creative_Intelligence_Dataset_FULL/assets/creative_500004.png,True,0.5625,230400,1,14,28,1000,install,fantasy,45-54,Both,2026-01-19,2026-04-02,5386,CPA,74,LATAM,3,6726.42,904383,749201,13149,2701,15494.31,8.0,0.0005051114556202838,0.23096313637129992,0.014539194124613134,0.8284111930454243,0.20541486044566126,2.986566532099785,2.3035002274612646,7,14615.17,1940264,1604464,25956,5208,29459.309999999998,8.0,0.0020299993057802204,0.5076006381091087,0.013377560991700099,0.8269307681841234,0.20064724919093851,2.684170813868628,2.0156665984726825,14,23320.33,3103338,2565364,34917,7002,39475.44,8.0,0.0034076986238158902,0.7110743078697246,0.01125143313425737,0.8266466624002928,0.20053269181201133,2.2562801731554862,1.6927479156598555,56,60708.18,8095795,47116,9307,52325.7,0.003909843812604096,0.7966484922692436,55,0.005819811395916028,0.19753374649800493,1.1496091489470768,0.8619217377295777,stable,,0.5191358024691358,0.005819811395916,0.1975337464980049,1.149609148947077,0.8619217377295777,-0.8639709189124348,-0.0659199901627248,0.0146295330635053,0
500005,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,ja,2026-01-28,ugc,competition,Shop now,Beat your rivals,Free rewards for new players,blue,calm,10,0.05,40,0.848,0.553,0.553,0.489,0.879,2,1,0,0,1,0,assets/creative_500005.png,/home/wei/projects/hack_UPC_2026/Smadex_Creative_Intelligence_Dataset_FULL/assets/creative_500005.png,True,0.5625,230400,1,16,28,1000,install,fantasy,45-54,Both,2026-01-19,2026-04-02,5386,CPA,74,LATAM,3,3763.1,503746,411205,7388,1482,8535.65,8.0,0.0005157596987605779,0.23643821297813836,0.014666121418333842,0.8162943229325891,0.2005955603681646,2.941958844338218,2.268249581462092,7,8339.119999999999,1105128,899717,15749,3248,18683.46,8.0,0.001049851316011735,0.2133312682987534,0.014250837911988475,0.8141292230402271,0.20623531652803354,2.9390260675686437,2.240459424975297,14,14342.3,1904842,1551908,23197,4780,27206.24,8.0,0.0027965995910551513,0.6073629795526075,0.012177912918761765,0.8147174411316004,0.20606112859421477,2.5093944799621175,1.8969230876498193,48,44977.12,5997958,36277,7397,42033.36,0.004400167949360077,0.9176134650850399,47,0.0060482250792686446,0.20390329961132397,1.2332530504548382,0.9345498333374835,stable,,0.5419753086419753,0.0060482250792686,0.2039032996113239,1.2332530504548382,0.9345498333374836,-0.8753519788836597,-0.0635857312273568,0.0146661214183338,0
500006,20001,VantaStyle,VantaStyle Drops,ecommerce,banner,320,480,es,2026-01-15,drama,before/after,Order now,Up to 40% off,Only this weekend,red,urgent,0,0.629,80,0.846,0.806,0.294,0.401,0.42,1,3,0,1,0,0,assets/creative_500006.png,/home/wei/projects/hack_UPC_2026/Smadex_Creative_Intelligence_Dataset_FULL/assets/creative_500006.png,True,0.6666666666666666,153600,0,13,17,1001,purchase,testimonial,45-54,Android,2026-01-11,2026-03-19,2532,CPA,68,North America,3,8730.59,3495628,2956636,22139,1053,43760.63,3.0,0.0019717409012790705,0.10731052013862594,0.006333339817623614,0.8458096799773889,0.04756312389900176,0.3012334264401132,5.012333645263378,7,19083.01,7377881,6212987,30951,1443,57407.94,3.0,0.002620416631391481,0.13191094972487702,0.004195106969060628,0.8421099499978382,0.046622080062033534,0.19558461298033947,3.008327302663469,14,26189.67,10047144,8485701,35712,1652,65729.02,3.0,0.0021501488288408655,0.10683625508431392,0.003554442934230862,0.8445883725763261,0.046258960573476705,0.1644248355552583,2.5097307449845685,61,46536.78,17990207,49913,2274,90338.49,0.0011198037182340746,0.05963916845350855,60,0.00277445390150319,0.045559273135255346,0.12640210309975866,1.941227777254894,underperformer,,0.1296296296296296,0.0027744539015031,0.0455592731352553,0.1264021030997586,1.941227777254894,-0.5677809492945851,-0.1786259044744684,0.0063333398176236,0
500007,20001,VantaStyle,VantaStyle Drops,ecommerce,interstitial,360,640,es,2026-01-23,feature-focus,before/after,Watch now,Limited stock,Only this weekend,lime,adventurous,8,0.561,66,0.788,0.706,0.29,0.695,0.684,1,3,1,1,0,0,assets/creative_500007.png,/home/wei/projects/hack_UPC_2026/Smadex_Creative_Intelligence_Dataset_FULL/assets/creative_500007.png,True,0.5625,230400,1,13,17,1001,purchase,testimonial,45-54,Android,2026-01-11,2026-03-19,2532,CPA,68,North America,3,2616.2000000000003,730875,568478,8889,491,18971.63,3.0,0.0009943679826398333,0.16309621232595478,0.01216213442791175,0.7778046861638447,0.05523680953988075,0.6717975029929879,7.2515977371760565,7,4606.13,1298870,1072558,15184,832,32306.49,3.0,0.0011727385345903637,0.12365917518436284,0.0116901614480279,0.8257623934650888,0.0547945205479452,0.6405567916727617,7.013803344673295,14,7319.51,2088354,1732063,21553,1197,45764.76,3.0,0.002219549385117763,0.15785216047323192,0.010320568256148143,0.829391472901625,0.055537512179278985,0.5731786852229076,6.252434930753561,53,24391.43,6904277,35777,1943,74402.43000000001,0.003457294337479967,0.203457745976858,52,0.005181860461276395,0.05430863403862817,0.28141976343069663,3.050351291416699,stable,,0.4419753086419752,0.0051818604612763,0.0543086340386281,0.2814197634306966,3.050351291416699,-0.8437435554275438,0.1346531413612566,0.0121621344279117,0
500008,20001,VantaStyle,VantaStyle Drops,ecommerce,native,320,320,es,2026-01-28,combo,limited offer,Install now,Flash sale live,Only this weekend,teal,playful,0,0.473,71,0.609,0.796,0.278,0.198,0.359,0,2,0,1,0,1,assets/creative_500008.png,/home/wei/projects/hack_UPC_2026/Smadex_Creative_Intelligence_Dataset_FULL/assets/creative_500008.png,True,1.0,102400,0,15,17,1001,purchase,testimonial,45-54,Android,2026-01-11,2026-03-19,2532,CPA,68,North America,3,1381.9,469536,380712,4353,233,8871.570000000002,3.0,0.000665689192747332,0.09073974118956672,0.009270854630954815,0.8108260069515436,0.05352630369859867,0.4962345805220473,6.419835009769159,7,3211.79,1097683,925645,9964,556,20728.34,3.0,0.0005771312383447079,0.05505911910955105,0.009077301916855776,0.8432716913717349,0.055800883179446,0.5065214638470306,6.453827927728774,14,6133.84,2112832,1766385,15758,887,33635.700000000004,3.0,0.0018798987436627686,0.11671663259607515,0.007458236149395693,0.8360271900463454,0.056288869145830686,0.4198156786720383,5.483628526339129,48,21533.2,7543546,27070,1501,56896.94,0.002669520925517922,0.1565211165559807,47,0.0035884980352741272,0.05544883635020318,0.1989780403009407,2.642289116341278,stable,,0.2496913580246913,0.0035884980352741,0.0554488363502031,0.1989780403009406,2.642289116341278,-0.7988159231274188,-0.1870760272515931,0.0093729454895087,0
500009,20001,VantaStyle,VantaStyle Drops,ecommerce,banner,320,480,en,2026-01-29,discount,free shipping,Shop now,Limited stock,Free shipping over $25,purple,urgent,0,0.709,91,0.889,0.655,0.539,0.409,0.235,1,3,1,1,0,1,assets/creative_500009.png,/home/wei/projects/hack_UPC_2026/Smadex_Creative_Intelligence_Dataset_FULL/assets/creative_500009.png,True,0.6666666666666666,153600,0,13,22,1001,purchase,testimonial,45-54,Android,2026-01-11,2026-03-19,2532,CPA,68,North America,3,1523.2199999999998,581447,453676,4842,288,12014.06,3.0,0.0003856378535850497,0.08320465640708091,0.008327500184883575,0.7802534022877408,0.05947955390334572,0.4953159961269041,7.887278265779074,7,3400.91,1312775,1050109,9904,562,23380.39,3.0,0.0009238937967481854,0.08673399946911867,0.00754432404639028,0.7999154462874445,0.05674474959612278,0.4281007788844242,6.874745288760949,14,6322.98,2450024,1988621,14586,773,31349.76,3.0,0.0019031941463928503,0.1413025661929839,0.005953411068626267,0.8116740897232028,0.05299602358425888,0.3155071133997055,4.958067240446751,47,21926.22,8587184,26069,1342,53252.02,0.002102645818667876,0.1271183260561995,46,0.0030358031224205747,0.051478767885227664,0.15627940428433815,2.428691311133428,underperformer,,0.1925925925925926,0.0030358031224205,0.0514787678852276,0.1562794042843381,2.428691311133428,-0.7493751901816303,-0.1464951775756916,0.0083275001848835,0
